,PRICE,MILEAGE_KM,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,CAR_AGE,DEREG_VALUE_FROM_SCRAPE_DATE,OMV,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,POWER,LISTING_URL,BRAND
3492,228800.0,46000.0,102078.0,3043.0,12.0,85494.0,119938.0,4691.0,1880.0,453.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289161&DL=1000&utm_content=SLeligible,Maserati
3498,49800.0,135000.0,30284.0,1641.0,16.0,13732.0,14905.0,1496.0,1160.0,108.0,https://www.sgcarmart.com/used_cars/info.php?ID=1278848&DL=3048&utm_content=SLeligible,Honda
3499,84800.0,153595.0,37010.0,1467.0,6.0,31550.0,22719.0,1998.0,1480.0,147.0,https://www.sgcarmart.com/used_cars/info.php?ID=1254509&DL=3214&utm_content=SLeligible,Mitsubishi
3500,25200.0,122000.0,55889.0,458.0,9.0,15081.0,19084.0,1197.0,1285.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289918&DL=3475,Nissan
3503,186888.0,86000.0,41361.0,2037.0,5.0,67738.0,48189.0,2494.0,2055.0,179.0,https://www.sgcarmart.com/used_cars/info.php?ID=1271705&DL=3887&utm_content=SLeligible,Toyota
3504,85800.0,96000.0,36001.0,1096.0,7.0,34972.0,28949.0,1595.0,1430.0,120.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289365&DL=3283,Mercedes-Benz
3505,64888.0,148000.0,31335.0,1733.0,15.0,15015.0,40867.0,1984.0,1530.0,207.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289852&DL=3976&utm_content=SLeligible,Audi
3508,55800.0,123000.0,32121.0,1672.0,16.0,14846.0,25518.0,1998.0,1530.0,144.0,https://www.sgcarmart.com/used_cars/info.php?ID=1272904&DL=3048&utm_content=SLeligible,Toyota
3509,38800.0,63916.0,58801.0,605.0,9.0,21613.0,20787.0,2360.0,1530.0,164.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289087&DL=1001,Mitsubishi
3511,19800.0,150000.0,56583.0,577.0,19.0,9162.0,12765.0,1584.0,1162.0,105.0,https://www.sgcarmart.com/used_cars/info.php?ID=1286474&DL=4412,Mitsubishi
3513,83800.0,136259.0,37502.0,2008.0,14.0,20775.0,35640.0,2362.0,1770.0,167.0,https://www.sgcarmart.com/used_cars/info.php?ID=1277732&DL=4241&utm_content=SLeligible,Toyota
3514,43800.0,129000.0,51507.0,889.0,8.0,21460.0,14317.0,1591.0,1295.0,127.0,https://www.sgcarmart.com/used_cars/info.php?ID=1290101&DL=4277,Kia
3516,31800.0,96540.0,49000.0,760.0,8.0,15776.0,14662.0,1496.0,1079.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289377&DL=2793,Mazda
3517,91800.0,75000.0,34001.0,1982.0,6.0,43525.0,29370.0,1199.0,1295.0,128.0,https://www.sgcarmart.com/used_cars/info.php?ID=1283219&DL=2175,Opel
3518,265000.0,26000.0,39889.0,2460.0,4.0,92721.0,64210.0,1991.0,1635.0,415.0,https://www.sgcarmart.com/used_cars/info.php?ID=1230802&DL=4524&utm_content=SLeligible,Mercedes-Benz
3520,42777.0,149000.0,52491.0,1129.0,17.0,16236.0,67792.0,2497.0,1685.0,214.0,https://www.sgcarmart.com/used_cars/info.php?ID=1280044&DL=3648&utm_content=SLeligible,BMW
3521,43888.0,174000.0,50347.0,764.0,17.0,14732.0,81510.0,2997.0,1850.0,227.0,https://www.sgcarmart.com/used_cars/info.php?ID=1290057&DL=1000&utm_content=SLeligible,Mercedes-Benz
