,PRICE,PREDICTED_PRICE,LISTING_URL,BRAND,RECOMMENDED
149,52988.0,63384.42,https://www.sgcarmart.com/used_cars/info.php?ID=1273310&DL=3642&utm_content=SLeligible,Hyundai,True
150,148000.0,151754.65,https://www.sgcarmart.com/used_cars/info.php?ID=1286746&DL=3475,BMW,True
151,136800.0,140727.28,https://www.sgcarmart.com/used_cars/info.php?ID=1290068&DL=1213,BMW,True
153,120800.0,124634.1,https://www.sgcarmart.com/used_cars/info.php?ID=1277365&DL=4454&utm_content=SLeligible,BMW,True
156,54800.0,55232.715,https://www.sgcarmart.com/used_cars/info.php?ID=1284470&DL=2855&utm_content=SLeligible,Toyota,True
157,71888.0,79904.77,https://www.sgcarmart.com/used_cars/info.php?ID=1259858&DL=3811&utm_content=SLeligible,MINI,True
159,69888.0,70552.92,https://www.sgcarmart.com/used_cars/info.php?ID=1268932&DL=3456&utm_content=SLeligible,Nissan,True
160,66800.0,69166.82,https://www.sgcarmart.com/used_cars/info.php?ID=1290136&DL=2171,Peugeot,True
165,43800.0,47083.02,https://www.sgcarmart.com/used_cars/info.php?ID=1247590&DL=3276&utm_content=SLeligible,Infiniti,True
166,76800.0,79460.14,https://www.sgcarmart.com/used_cars/info.php?ID=1271560&DL=3968&utm_content=SLeligible,Infiniti,True
167,55800.0,55895.38,https://www.sgcarmart.com/used_cars/info.php?ID=1276809&DL=1238&utm_content=SLeligible,Nissan,True
170,130800.0,134020.035,https://www.sgcarmart.com/used_cars/info.php?ID=1281271&DL=1032,BMW,True
171,68800.0,69762.905,https://www.sgcarmart.com/used_cars/info.php?ID=1226096&DL=4166&utm_content=SLeligible,Mercedes-Benz,True
172,45800.0,47442.38,https://www.sgcarmart.com/used_cars/info.php?ID=1290362&DL=3321&utm_content=SLeligible,Toyota,True
174,121800.0,123018.98,https://www.sgcarmart.com/used_cars/info.php?ID=1290052&DL=2140,Toyota,True
175,94988.0,104314.07,https://www.sgcarmart.com/used_cars/info.php?ID=1289894&DL=2870,Volkswagen,True
177,118800.0,119480.03,https://www.sgcarmart.com/used_cars/info.php?ID=1283252&DL=4073,BMW,True
181,49800.0,50008.77,https://www.sgcarmart.com/used_cars/info.php?ID=1278815&DL=1240&utm_content=SLeligible,Volkswagen,True
183,114800.0,116461.525,https://www.sgcarmart.com/used_cars/info.php?ID=1268926&DL=4074&utm_content=SLeligible,Audi,True
185,78800.0,81668.02,https://www.sgcarmart.com/used_cars/info.php?ID=1284536&DL=2217&utm_content=SLeligible,Lexus,True
186,84800.0,87439.145,https://www.sgcarmart.com/used_cars/info.php?ID=1290214&DL=3175,Volkswagen,True
187,34800.0,35326.795,https://www.sgcarmart.com/used_cars/info.php?ID=1289501&DL=4537,Mazda,True
188,113800.0,114184.41,https://www.sgcarmart.com/used_cars/info.php?ID=1278163&DL=3757&utm_content=SLeligible,Mitsubishi,True
191,69777.0,74099.49,https://www.sgcarmart.com/used_cars/info.php?ID=1239051&DL=2783&utm_content=SLeligible,Hyundai,True
192,79800.0,85107.885,https://www.sgcarmart.com/used_cars/info.php?ID=1244391&DL=2804&utm_content=SLeligible,Infiniti,True
194,109366.0,137706.12,https://www.sgcarmart.com/used_cars/info.php?ID=1235432&DL=2725&utm_content=SLeligible,Land,True
195,112800.0,119899.82,https://www.sgcarmart.com/used_cars/info.php?ID=1289645&DL=4327,Audi,True
197,107000.0,109365.155,https://www.sgcarmart.com/used_cars/info.php?ID=1270660&DL=3597&utm_content=SLeligible,BMW,True
201,60200.0,62316.435,https://www.sgcarmart.com/used_cars/info.php?ID=1289277&DL=3573&utm_content=SLeligible,Audi,True
212,45800.0,48885.855,https://www.sgcarmart.com/used_cars/info.php?ID=1290163&DL=3626,Volkswagen,True
213,73800.0,75390.88,https://www.sgcarmart.com/used_cars/info.php?ID=1289298&DL=1010,Honda,True
215,20777.0,24871.1,https://www.sgcarmart.com/used_cars/info.php?ID=1290360&DL=2783,Ford,True
217,64800.0,68458.305,https://www.sgcarmart.com/used_cars/info.php?ID=1274424&DL=1136&utm_content=SLeligible,Kia,True
218,58900.0,59997.63,https://www.sgcarmart.com/used_cars/info.php?ID=1266942&DL=1177&utm_content=SLeligible,Ssangyong,True
219,37800.0,39271.175,https://www.sgcarmart.com/used_cars/info.php?ID=1284265&DL=3048&utm_content=SLeligible,Honda,True
220,177888.0,183545.405,https://www.sgcarmart.com/used_cars/info.php?ID=1283063&DL=1000&utm_content=SLeligible,BMW,True
222,121800.0,122595.88,https://www.sgcarmart.com/used_cars/info.php?ID=1290042&DL=2011,Hyundai,True
223,20800.0,21061.18,https://www.sgcarmart.com/used_cars/info.php?ID=1286999&DL=3381&utm_content=SLeligible,Toyota,True
224,39777.0,42475.42,https://www.sgcarmart.com/used_cars/info.php?ID=1238699&DL=2783&utm_content=SLeligible,Volkswagen,True
225,92000.0,98067.88,https://www.sgcarmart.com/used_cars/info.php?ID=1289134&DL=4128,Volkswagen,True
229,39980.0,41651.47,https://www.sgcarmart.com/used_cars/info.php?ID=1289149&DL=3832,Mercedes-Benz,True
232,71000.0,78828.635,https://www.sgcarmart.com/used_cars/info.php?ID=1289223&DL=1000&utm_content=SLeligible,Lexus,True
240,132800.0,136213.28,https://www.sgcarmart.com/used_cars/info.php?ID=1289244&DL=1000&utm_content=SLeligible,BMW,True
241,50800.0,51224.9,https://www.sgcarmart.com/used_cars/info.php?ID=1276822&DL=3718&utm_content=SLeligible,Chevrolet,True
243,121888.0,127882.68,https://www.sgcarmart.com/used_cars/info.php?ID=1252189&DL=1095&utm_content=SLeligible,Nissan,True
245,78800.0,82582.895,https://www.sgcarmart.com/used_cars/info.php?ID=1289043&DL=4493,Volkswagen,True
246,36800.0,38662.775,https://www.sgcarmart.com/used_cars/info.php?ID=1249674&DL=4508&utm_content=SLeligible,Nissan,True
247,98988.0,99875.34,https://www.sgcarmart.com/used_cars/info.php?ID=1258739&DL=2870&utm_content=SLeligible,Toyota,True
248,80000.0,81915.105,https://www.sgcarmart.com/used_cars/info.php?ID=1289443&DL=3597,Peugeot,True
252,30800.0,36463.49,https://www.sgcarmart.com/used_cars/info.php?ID=1290327&DL=1032,Kia,True
253,23800.0,25036.75,https://www.sgcarmart.com/used_cars/info.php?ID=1288040&DL=1266,Mercedes-Benz,True
255,47800.0,48340.64,https://www.sgcarmart.com/used_cars/info.php?ID=1289670&DL=4622,Honda,True
256,107800.0,118392.145,https://www.sgcarmart.com/used_cars/info.php?ID=1116458&DL=1242&utm_content=SLeligible,Volkswagen,True
257,41888.0,43162.72,https://www.sgcarmart.com/used_cars/info.php?ID=1174579&DL=1277&utm_content=SLeligible,BMW,True
258,65888.0,67391.895,https://www.sgcarmart.com/used_cars/info.php?ID=1250159&DL=3339&utm_content=SLeligible,Audi,True
260,135800.0,138275.665,https://www.sgcarmart.com/used_cars/info.php?ID=1280114&DL=1000&utm_content=SLeligible,Mercedes-Benz,True
261,99800.0,108233.58,https://www.sgcarmart.com/used_cars/info.php?ID=1287905&DL=3900&utm_content=SLeligible,BMW,True
262,40888.0,44163.425,https://www.sgcarmart.com/used_cars/info.php?ID=1290080&DL=4417,Mitsubishi,True
263,81800.0,85873.69,https://www.sgcarmart.com/used_cars/info.php?ID=1274997&DL=2969&utm_content=SLeligible,Honda,True
266,136800.0,137614.86,https://www.sgcarmart.com/used_cars/info.php?ID=1288984&DL=1000&utm_content=SLeligible,BMW,True
268,172800.0,174723.385,https://www.sgcarmart.com/used_cars/info.php?ID=1268143&DL=2976&utm_content=SLeligible,BMW,True
269,88800.0,92821.995,https://www.sgcarmart.com/used_cars/info.php?ID=1285562&DL=3214,Skoda,True
270,56800.0,59072.705,https://www.sgcarmart.com/used_cars/info.php?ID=1255030&DL=4343&utm_content=SLeligible,Volkswagen,True
271,55000.0,55469.22,https://www.sgcarmart.com/used_cars/info.php?ID=1217225&DL=3507&utm_content=SLeligible,Hyundai,True
272,77999.0,79720.51,https://www.sgcarmart.com/used_cars/info.php?ID=1289618&DL=1463,Mazda,True
276,132800.0,143294.88,https://www.sgcarmart.com/used_cars/info.php?ID=1289733&DL=1000&utm_content=SLeligible,BMW,True
277,42800.0,44016.03,https://www.sgcarmart.com/used_cars/info.php?ID=1290315&DL=1032,Honda,True
280,52800.0,52904.86,https://www.sgcarmart.com/used_cars/info.php?ID=1288155&DL=3561,Honda,True
282,100988.0,106051.625,https://www.sgcarmart.com/used_cars/info.php?ID=1263647&DL=2870&utm_content=SLeligible,Nissan,True
284,109800.0,113660.5,https://www.sgcarmart.com/used_cars/info.php?ID=1287576&DL=2389,BMW,True
286,60800.0,68739.07,https://www.sgcarmart.com/used_cars/info.php?ID=1288358&DL=3892,Honda,True
288,59800.0,61887.315,https://www.sgcarmart.com/used_cars/info.php?ID=1286672&DL=4166&utm_content=SLeligible,Audi,True
289,21300.0,26577.5,https://www.sgcarmart.com/used_cars/info.php?ID=1281848&DL=2440,BMW,True
293,85800.0,86443.065,https://www.sgcarmart.com/used_cars/info.php?ID=1193089&DL=1000&utm_content=SLeligible,Audi,True
294,120800.0,139603.355,https://www.sgcarmart.com/used_cars/info.php?ID=1287685&DL=3647&utm_content=SLeligible,Audi,True
297,96388.0,103239.9,https://www.sgcarmart.com/used_cars/info.php?ID=1281481&DL=2283,Opel,True
298,57888.0,60003.695,https://www.sgcarmart.com/used_cars/info.php?ID=1288761&DL=4371&utm_content=SLeligible,MINI,True
301,98500.0,99703.19,https://www.sgcarmart.com/used_cars/info.php?ID=1258670&DL=3416&utm_content=SLeligible,Toyota,True
302,83333.0,83824.125,https://www.sgcarmart.com/used_cars/info.php?ID=1290256&DL=1228&utm_content=SLeligible,Mercedes-Benz,True
305,52988.0,53642.28,https://www.sgcarmart.com/used_cars/info.php?ID=1290005&DL=2870,Chevrolet,True
307,115800.0,117301.715,https://www.sgcarmart.com/used_cars/info.php?ID=1289738&DL=4025,Mercedes-Benz,True
308,60000.0,62724.16,https://www.sgcarmart.com/used_cars/info.php?ID=1288784&DL=3163,Volvo,True
309,56600.0,57915.895,https://www.sgcarmart.com/used_cars/info.php?ID=1270978&DL=4554&utm_content=SLeligible,MINI,True
310,44800.0,45997.84,https://www.sgcarmart.com/used_cars/info.php?ID=1290039&DL=4412,Audi,True
311,51800.0,52994.32,https://www.sgcarmart.com/used_cars/info.php?ID=1231004&DL=1194&utm_content=SLeligible,Toyota,True
314,41888.0,48303.46,https://www.sgcarmart.com/used_cars/info.php?ID=1247942&DL=3626&utm_content=SLeligible,Kia,True
315,55333.0,56215.3,https://www.sgcarmart.com/used_cars/info.php?ID=1192268&DL=1000&utm_content=SLeligible,Mercedes-Benz,True
318,109800.0,110301.145,https://www.sgcarmart.com/used_cars/info.php?ID=1290056&DL=3470&utm_content=SLeligible,Nissan,True
319,99800.0,107588.94,https://www.sgcarmart.com/used_cars/info.php?ID=1283493&DL=3750&utm_content=SLeligible,Mercedes-Benz,True
320,41800.0,44107.95,https://www.sgcarmart.com/used_cars/info.php?ID=1284557&DL=1032,Toyota,True
321,143800.0,145994.8,https://www.sgcarmart.com/used_cars/info.php?ID=1222187&DL=1398&utm_content=SLeligible,Porsche,True
322,85000.0,91999.235,https://www.sgcarmart.com/used_cars/info.php?ID=1282909&DL=1000&utm_content=SLeligible,Toyota,True
