,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,POWER,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
45,https://www.sgcarmart.com/used_cars/info.php?ID=1283060&DL=3570,Mercedes-Benz,153888,17390,13-Jan-2022,48000,2021,586,Auto,70516,18/04/2024,33282,38595,128,53709,2800,1332,1380,1,Luxury Sedan
46,https://www.sgcarmart.com/used_cars/info.php?ID=1286165&DL=3333,Honda,58800,15360,19-Jun-2017,109253,2017,742,Auto,27520,18/04/2024,20225,20315,123,45201,1155,1597,1249,2,Mid-Sized Sedan
47,https://www.sgcarmart.com/used_cars/info.php?ID=1269401&DL=2397&utm_content=SLeligible,Mercedes-Benz,73800,20220,13-Jan-2017,118300,2016,740,Auto,37336,18/04/2024,35649,36909,154,55501,975,1595,1425,1,Luxury Sedan
48,https://www.sgcarmart.com/used_cars/info.php?ID=1246777&DL=4524&utm_content=SLeligible,Audi,115800,19110,30-Apr-2019,97500,2019,1194,Auto,53559,18/04/2024,33716,39203,187,52410,1826,1984,1480,2,Luxury Sedan
49,https://www.sgcarmart.com/used_cars/info.php?ID=1270537&DL=4472&utm_content=SLeligible,Hyundai,50800,10520,14-Feb-2009,140000,2009,1107,Auto,12419,18/04/2024,11635,11635,120,25727,1736,1591,1264,6,Mid-Sized Sedan
50,https://www.sgcarmart.com/used_cars/info.php?ID=1262562&DL=4277&utm_content=SLeligible,Toyota,192800,30930,04-Jul-2019,74000,2018,1792,Auto,65150,18/04/2024,50691,63244,179,34000,1890,2493,2030,2,MPV
51,https://www.sgcarmart.com/used_cars/info.php?ID=1288189&DL=1244,Nissan,23800,16150,25-Jun-2015,113888,2015,508,Auto,12380,18/04/2024,19382,9382,113,61000,431,1197,1285,1,SUV
52,https://www.sgcarmart.com/used_cars/info.php?ID=1285251&DL=4524&utm_content=SLeligible,MINI,138800,13870,16-Apr-2014,90000,2013,742,Auto,,18/04/2024,32445,32423,181,,0,1598,1255,3,Sports Car
53,https://www.sgcarmart.com/used_cars/info.php?ID=1279247&DL=3318&utm_content=SLeligible,Infiniti,60800,15690,26-May-2017,56000,2016,1048,Auto,30190,18/04/2024,,,107,46489,1132,1461,1485,2,SUV
54,https://www.sgcarmart.com/used_cars/info.php?ID=1266384&DL=3024&utm_content=SLeligible,Audi,88500,16820,22-Oct-2018,75000,2018,392,Auto,30252,18/04/2024,23691,25168,113,28000,1643,999,1315,1,SUV
55,https://www.sgcarmart.com/used_cars/info.php?ID=1253744&DL=1054&utm_content=SLeligible,Hyundai,73800,14470,21-Nov-2018,73679,2018,738,Auto,23208,18/04/2024,14645,14645,125,28199,1672,1591,1345,1,Mid-Sized Sedan
56,https://www.sgcarmart.com/used_cars/info.php?ID=1249489&DL=2975&utm_content=SLeligible,Audi,111500,15760,28-Aug-2020,73201,2019,392,Auto,39556,18/04/2024,21751,22452,113,35710,2319,999,1275,1,Hatchback
57,https://www.sgcarmart.com/used_cars/info.php?ID=1283213&DL=3545,Mercedes-Benz,81000,23690,01-Nov-2016,79000,2016,740,Auto,39306,18/04/2024,39138,41794,154,56089,913,1595,1475,4,Sports Car
58,https://www.sgcarmart.com/used_cars/info.php?ID=1275052&DL=1000&utm_content=SLeligible,Toyota,123688,18740,16-Dec-2019,141300,2019,1210,Auto,47812,18/04/2024,30808,35132,227,37900,2042,1998,1695,1,SUV
59,https://www.sgcarmart.com/used_cars/info.php?ID=1282862&DL=1000,Sunbeam,52000,6280,27-Jul-2022,,1952,280,Auto,16087,18/04/2024,9850,9850,69,9718,3018,2267,1295,1,Others
60,https://www.sgcarmart.com/used_cars/info.php?ID=1223214&DL=2093&utm_content=SLeligible,Mercedes-Benz,275000,30430,13-May-2013,30000,2013,5487,Auto,99375,18/04/2024,155489,155489,429,109948,3287,4663,1785,2,Sports Car
61,https://www.sgcarmart.com/used_cars/info.php?ID=1275189&DL=2296&utm_content=SLeligible,BMW,201800,23550,26-Jul-2021,22000,2020,1210,Auto,90236,18/04/2024,,,183,61112,2652,1998,1610,2,Luxury
62,https://www.sgcarmart.com/used_cars/info.php?ID=1199474&DL=4419&utm_content=SLeligible,Volkswagen,133800,17950,14-Mar-2012,105000,2011,1552,Manual,43330,18/04/2024,33982,33982,252,58124,2707,1984,1344,4,Sports Car
63,https://www.sgcarmart.com/used_cars/info.php?ID=1257679&DL=2175&utm_content=SLeligible,Audi,33800,16560,29-Sep-2015,102000,2015,624,Auto,19082,18/04/2024,26913,19679,123,57089,515,1395,1300,3,Hatchback
64,https://www.sgcarmart.com/used_cars/info.php?ID=1242329&DL=3037&utm_content=SLeligible,Honda,55800,14000,01-Nov-2017,105000,2017,684,Auto,23726,18/04/2024,17558,12558,118,44002,1278,1497,1096,1,Mid-Sized Sedan
65,https://www.sgcarmart.com/used_cars/info.php?ID=1290073&DL=525,Tesla,,,28-Nov-2022,,2022,5634,Auto,,18/04/2024,,,527,95856,3139,,1997,1,SUV
66,https://www.sgcarmart.com/used_cars/info.php?ID=1222665&DL=3350&utm_content=SLeligible,Mercedes-Benz,299800,28290,30-Jun-2023,882,2020,1202,Auto,145307,18/04/2024,56315,78999,301,116000,3346,1991,1680,1,SUV
