,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
32,https://www.sgcarmart.com/used_cars/info.php?ID=1239600&DL=2303&utm_content=SLeligible,Jeep,229800,26810,22-Oct-2021,19900,2021,1208,Auto,90563,13/03/2024,42450,51430,68310,2773,1995,2123,1,SUV
33,https://www.sgcarmart.com/used_cars/info.php?ID=1271792&DL=1000&utm_content=SLeligible,Toyota,152888,15280,10-Jul-2014,156000,2014,1638,Auto,,13/03/2024,39847,47786,,0,2362,1970,4,MPV
34,https://www.sgcarmart.com/used_cars/info.php?ID=1278509&DL=3013,Nissan,28800,13130,18-Nov-2015,82354,2015,508,Auto,17049,13/03/2024,18413,13413,57498,609,1197,1285,2,SUV
35,https://www.sgcarmart.com/used_cars/info.php?ID=1259033&DL=3274&utm_content=SLeligible,Toyota,97800,20520,09-Feb-2018,,2018,1210,Auto,39514,13/03/2024,30808,35132,42661,1101,1998,1695,2,SUV
36,https://www.sgcarmart.com/used_cars/info.php?ID=1263318&DL=4073&utm_content=SLeligible,Volkswagen,93888,14700,27-Jan-2011,,2010,1672,Auto,21438,13/03/2024,36492,36492,33568,2318,1984,1466,,Sports Car
37,https://www.sgcarmart.com/used_cars/info.php?ID=1253681&DL=3546&utm_content=SLeligible,2018,75800,15860,26-Mar-2018,77000,2017,974,Auto,32168,13/03/2024,,,38801,1462,1797,1440,1,SUV
38,https://www.sgcarmart.com/used_cars/info.php?ID=1261542&DL=4247&utm_content=SLeligible,Audi,154800,36310,17-Jun-2008,88000,2008,6309,Auto,16159,13/03/2024,140563,140563,37906,1553,4163,1565,5,Sports Car
39,https://www.sgcarmart.com/used_cars/info.php?ID=1259137&DL=2010&utm_content=SLeligible,Mercedes-Benz,205988,18990,22-Dec-2023,50,2021,586,Auto,138035,13/03/2024,34709,40593,110001,3563,1332,1485,1,SUV
40,https://www.sgcarmart.com/used_cars/info.php?ID=1278279&DL=3103,Volkswagen,143988,15550,10-Mar-2023,15900,2022,392,Auto,85401,13/03/2024,22380,8332,88000,2954,999,1369,1,SUV
41,https://www.sgcarmart.com/used_cars/info.php?ID=1271393&DL=1213,Hyundai,66800,12560,27-Feb-2019,55300,2019,608,Auto,19276,13/03/2024,8988,8988,26170,1493,1368,1115,1,Mid-Sized Sedan
42,https://www.sgcarmart.com/used_cars/info.php?ID=1268454&DL=2011,Toyota,208800,22310,13-Oct-2022,28500,2022,1784,Auto,122777,13/03/2024,,,113000,3109,2487,1665,1,SUV
43,https://www.sgcarmart.com/used_cars/info.php?ID=1242910&DL=2121&utm_content=SLeligible,Mercedes-Benz,474888,,06-Oct-2023,16800,2020,,Auto,,13/03/2024,,,113034,3467,2999,2040,1,Sports
44,https://www.sgcarmart.com/used_cars/info.php?ID=1278069&DL=1433,Audi,35800,19020,15-Jun-2015,133700,2015,624,Auto,22539,13/03/2024,29906,23869,75000,456,1395,1480,2,SUV
45,https://www.sgcarmart.com/used_cars/info.php?ID=1271632&DL=2140,Peugeot,42800,13030,17-Jan-2017,90000,2016,508,Auto,21110,13/03/2024,21010,11414,50101,733,1199,1190,1,Stationwagon
46,https://www.sgcarmart.com/used_cars/info.php?ID=1274959&DL=1000&utm_content=SLeligible,Mercedes-Benz,123800,12370,02-May-2014,75000,2014,740,Auto,,13/03/2024,28666,22133,,0,1595,1430,2,Luxury Sedan
47,https://www.sgcarmart.com/used_cars/info.php?ID=1260562&DL=3573&utm_content=SLeligible,Maserati,855888,83680,20-May-2022,6000,2022,2376,Auto,334522,13/03/2024,182423,341331,95889,2986,2992,1475,1,Sports Car
48,https://www.sgcarmart.com/used_cars/info.php?ID=1278794&DL=4073&utm_content=SLeligible,Porsche,135800,17040,18-May-2012,115000,2012,2856,Auto,64224,13/03/2024,,,80583,2591,2995,2315,2,SUV
49,https://www.sgcarmart.com/used_cars/info.php?ID=1278954&DL=3981,2019,99800,16790,29-Mar-2019,64000,2019,1210,Auto,43366,13/03/2024,27320,30248,41000,1830,1998,1576,2,SUV
50,https://www.sgcarmart.com/used_cars/info.php?ID=1271363&DL=2425,Nissan,45800,14320,23-Mar-2017,63399,2016,508,Auto,15329,13/03/2024,14495,5000,39936,1104,1198,1081,2,Hatchback
51,https://www.sgcarmart.com/used_cars/info.php?ID=1277731&DL=1000&utm_content=SLeligible,Opel,100800,13750,17-Mar-2021,29500,2020,592,Auto,41258,13/03/2024,22670,8738,49500,2558,1341,1270,2,Hatchback
52,https://www.sgcarmart.com/used_cars/info.php?ID=1277685&DL=3293,Honda,69988,19120,27-Apr-2017,,2017,742,Auto,29664,13/03/2024,20480,20672,52000,1128,1597,1249,4,Mid-Sized Sedan
53,https://www.sgcarmart.com/used_cars/info.php?ID=1276472&DL=1024,Hyundai,72800,14390,15-Nov-2018,83000,2018,738,Auto,20887,13/03/2024,10999,10999,28199,1701,1591,1345,2,Mid-Sized Sedan
54,https://www.sgcarmart.com/used_cars/info.php?ID=1244502&DL=3209&utm_content=SLeligible,Toyota,98988,19110,11-Apr-2018,133888,2018,1210,Auto,45379,13/03/2024,35785,42099,39000,1468,1998,1695,3,SUV
55,https://www.sgcarmart.com/used_cars/info.php?ID=1258941&DL=2291&utm_content=SLeligible,Honda,98800,15310,23-Dec-2019,58000,2019,742,Auto,32798,13/03/2024,20433,20607,30000,2104,1597,1237,1,Mid-Sized Sedan
56,https://www.sgcarmart.com/used_cars/info.php?ID=1261167&DL=4543&utm_content=SLeligible,Alfa,87800,12310,13-Jun-2011,,2010,1880,Auto,33756,13/03/2024,25382,25382,47316,2592,2198,1490,3,Luxury Sedan
