,DEPRE_VALUE_PER_YEAR,PREDICTED_DEPRE,RECOMMENDED,LISTING_URL
1783,51870.0,57468.11150197721,True,https://www.sgcarmart.com/used_cars/info.php?ID=1251157&DL=1264&utm_content=SLeligible
1785,14320.0,17906.842101077786,True,https://www.sgcarmart.com/used_cars/info.php?ID=1275787&DL=2425
1786,17400.0,17800.694894885386,True,https://www.sgcarmart.com/used_cars/info.php?ID=1249065&DL=2404&utm_content=SLeligible
1787,34730.0,49345.3781148671,True,https://www.sgcarmart.com/used_cars/info.php?ID=1203169&DL=1177&utm_content=SLeligible
1792,12300.0,13099.490960543957,True,https://www.sgcarmart.com/used_cars/info.php?ID=1260287&DL=3337&utm_content=SLeligible
1794,21890.0,22922.162475888883,True,https://www.sgcarmart.com/used_cars/info.php?ID=1241277&DL=3301&utm_content=SLeligible
1795,25020.0,34408.306126170544,True,https://www.sgcarmart.com/used_cars/info.php?ID=1221526&DL=1013&utm_content=SLeligible
1797,57090.0,94939.74739104755,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278532&DL=2875
1798,18950.0,20548.78914167528,True,https://www.sgcarmart.com/used_cars/info.php?ID=1246832&DL=4482&utm_content=SLeligible
1799,18080.0,19920.885482876034,True,https://www.sgcarmart.com/used_cars/info.php?ID=1259577&DL=3597&utm_content=SLeligible
1800,33120.0,37552.88650427818,True,https://www.sgcarmart.com/used_cars/info.php?ID=1272707&DL=3712
1803,11370.0,13049.932804144908,True,https://www.sgcarmart.com/used_cars/info.php?ID=1265292&DL=3838&utm_content=SLeligible
1805,17180.0,19288.77062435223,True,https://www.sgcarmart.com/used_cars/info.php?ID=1254345&DL=2080&utm_content=SLeligible
1815,21610.0,22719.543239154704,True,https://www.sgcarmart.com/used_cars/info.php?ID=1229297&DL=2900&utm_content=SLeligible
1816,16410.0,17204.076041850443,True,https://www.sgcarmart.com/used_cars/info.php?ID=1267183&DL=3283&utm_content=SLeligible
1820,20930.0,22748.644330657033,True,https://www.sgcarmart.com/used_cars/info.php?ID=1247451&DL=2792&utm_content=SLeligible
1821,22160.0,22413.11670995224,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278256&DL=3564
1822,14130.0,14519.001535846939,True,https://www.sgcarmart.com/used_cars/info.php?ID=1264706&DL=3100&utm_content=SLeligible
1827,12900.0,13965.671175183375,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277175&DL=4309
1829,14210.0,15076.50129433279,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278045&DL=3801
1834,116010.0,132923.47988884881,True,https://www.sgcarmart.com/used_cars/info.php?ID=908627&DL=2093&utm_content=SLeligible
1836,13840.0,15417.57195348178,True,https://www.sgcarmart.com/used_cars/info.php?ID=1267986&DL=3863&utm_content=SLeligible
1839,17660.0,25680.063882977145,True,https://www.sgcarmart.com/used_cars/info.php?ID=1109720&DL=2469&utm_content=SLeligible
1840,26450.0,33926.08952731785,True,https://www.sgcarmart.com/used_cars/info.php?ID=1255980&DL=2485&utm_content=SLeligible
1842,14730.0,15555.253314741054,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278457&DL=2648
1843,11310.0,12462.649059833479,True,https://www.sgcarmart.com/used_cars/info.php?ID=1253527&DL=3100&utm_content=SLeligible
1845,15760.0,18641.309285148538,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278728&DL=2626
